"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Combined",1,6,2,2,3,100.295654022428,340.292002439131
"Combined",2,6,2,2,3,109.750854478126,437.184510100467
"Combined",3,6,2,2,3,127.833110778927,332.263017819125
"Combined",4,6,2,2,3,103.163098403979,259.257461249549
"Combined",5,6,2,2,3,113.779645557397,331.960436941287
"Combined",6,6,2,2,3,124.942524281195,388.222370987311
"Combined",7,6,2,2,3,182.548409147794,392.33806798904
"Combined",8,6,2,2,3,172.324503115152,394.401639763125
"Combined",9,6,2,2,3,133.188402515799,352.396100309207
"Combined",10,6,2,2,3,176.479637294205,407.065898404814
"Combined",11,6,2,2,3,143.007080200409,297.921281923328
"Combined",12,6,2,2,3,98.5901453381302,349.123067204568
"Combined",13,6,2,2,3,168.147355190237,400.242985852232
"Combined",14,6,2,2,3,172.533051077479,363.078080929233
"Combined",15,6,2,2,3,80.6731081108525,301.93065760883
"Combined",16,6,2,2,3,94.8064057922636,318.095393030606
"Combined",17,6,2,2,3,148.945759567308,335.686408486236
"Combined",18,6,2,2,3,108.987484146725,339.803350221131
"Combined",19,6,2,2,3,159.321084576493,365.589042169102
"Combined",20,6,2,2,3,104.986665820435,349.547343257122
"Combined",21,6,2,2,3,98.5683795117949,385.191310909253
"Combined",22,6,2,2,3,92.7933024248645,391.343555618191
"Combined",23,6,2,2,3,206.946982156224,458.26490921154
"Combined",24,6,2,2,3,117.225501053905,436.494766286703
"Combined",25,6,2,2,3,143.810767918115,454.791746452692
"Combined",26,6,2,2,3,135.431415311411,445.881009617264
"Combined",27,6,2,2,3,178.426180202439,374.009244746575
"Combined",28,6,2,2,3,152.157219316044,396.193406914327
"Combined",29,6,2,2,3,94.6269689276627,370.3526552785
"Combined",30,6,2,2,3,128.976435670387,430.377585760667
"Combined",31,6,2,2,3,89.855360693308,431.645154713523
"Predator",1,7,2,2,3,157.764168804234,353.779652633176
"Predator",2,7,2,2,3,141.850870543952,408.060389542099
"Predator",3,7,2,2,3,102.73700486504,311.376132004043
"Predator",4,7,2,2,3,82.8526284729772,320.610227873009
"Predator",5,7,2,2,3,80.1618319353453,425.591121770085
"Predator",6,7,2,2,3,148.383454295205,394.38811655481
"Predator",7,7,2,2,3,82.7392594210486,334.325877720601
"Predator",8,7,2,2,3,134.206726974463,371.496060588589
"Predator",9,7,2,2,3,176.461714301393,402.763770644277
"Predator",10,7,2,2,3,153.90490146859,376.382632813712
"Predator",11,7,2,2,3,207.302034322688,433.167023854735
"Predator",12,7,2,2,3,129.552920673837,425.341470926629
"Predator",13,7,2,2,3,117.115838526792,366.914079325727
"Predator",14,7,2,2,3,88.1553668472275,397.92762276025
"Predator",15,7,2,2,3,122.081498807765,423.618494700992
"Predator",16,7,2,2,3,177.16411565575,387.281947211231
"Predator",17,7,2,2,3,155.91814937579,344.944714903683
"Predator",18,7,2,2,3,142.975116353872,380.063064403783
"Predator",19,7,2,2,3,165.243293971856,458.957406055172
