"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Combined",2,12,3,3,"Vincent",56.1786236395717,359.211891403021
"Combined",3,12,3,3,"Vincent",141.154904626094,426.274300162247
"Combined",4,12,3,3,"Vincent",120.093346728193,349.044936209029
"Combined",5,12,3,3,"Vincent",175.631624236605,455.503860557208
"Combined",6,12,3,3,"Vincent",72.8636872296898,351.315295154398
"Combined",7,12,3,3,"Vincent",168.304469262676,410.989213612882
"Combined",8,12,3,3,"Vincent",141.446076925513,423.1411919574
"Combined",9,12,3,3,"Vincent",103.716050222882,363.937599189099
"Combined",10,12,3,3,"Vincent",156.899891837235,382.889110755347
"Combined",11,12,3,3,"Vincent",145.988262460957,448.001618755053
"Combined",12,12,3,3,"Vincent",155.031721853572,481.439759804099
"Combined",13,12,3,3,"Vincent",141.738810727855,384.102205334412
"Combined",14,12,3,3,"Vincent",111.924273451528,431.704640830927
"Combined",15,12,3,3,"Vincent",161.278621359866,474.346439746866
"Combined",16,12,3,3,"Vincent",135.531979118941,325.612490539903
"Combined",17,12,3,3,"Vincent",131.894226487547,430.692912407745
"Combined",18,12,3,3,"Vincent",97.2591349549953,431.225055006075
"Combined",19,12,3,3,"Vincent",84.3499779667503,401.921852220316
"Combined",20,12,3,3,"Vincent",187.343526388002,373.89577246806
"Combined",21,12,3,3,"Vincent",124.227004226651,402.181543510279
"Conspecific",1,13,3,4,"Vincent",130.426099312941,358.740755540045
"Conspecific",2,13,3,4,"Vincent",116.709157011577,400.575999545184
"Conspecific",3,13,3,4,"Vincent",110.790067914047,422.878287632463
"Conspecific",4,13,3,4,"Vincent",116.688452993532,399.76731326761
"Conspecific",5,13,3,4,"Vincent",192.987570106665,417.242046635694
"Conspecific",6,13,3,4,"Vincent",115.343950392423,465.042376504892
"Conspecific",7,13,3,4,"Vincent",126.171407972453,375.843275709435
"Conspecific",8,13,3,4,"Vincent",212.939724022781,446.695144656112
"Conspecific",9,13,3,4,"Vincent",137.88770988912,442.215875006077
"Conspecific",10,13,3,4,"Vincent",119.155399653095,474.063929891648
"Conspecific",11,13,3,4,"Vincent",100.573296749445,438.997130746007
"Conspecific",12,13,3,4,"Vincent",155.562353954667,359.932210815178
"Conspecific",13,13,3,4,"Vincent",123.912671097721,357.170942259656
"Conspecific",14,13,3,4,"Vincent",90.4663374020969,344.727233088213
"Conspecific",15,13,3,4,"Vincent",184.603815199279,377.075319124286
"Conspecific",16,13,3,4,"Vincent",171.421637937819,356.032349523
"Conspecific",17,13,3,4,"Vincent",196.390235919969,448.251208021326
"Conspecific",18,13,3,4,"Vincent",186.625832031707,403.085749409614
"Conspecific",19,13,3,4,"Vincent",141.918066318925,347.672770002812
"Conspecific",20,13,3,4,"Vincent",211.984038779718,429.083652193104
"Conspecific",21,13,3,4,"Vincent",96.1323470037628,311.744166908707
"Predator",1,14,3,4,"Vincent",153.983212764445,369.145207177898
"Predator",2,14,3,4,"Vincent",137.295075369847,318.505983259792
"Predator",3,14,3,4,"Vincent",109.413530524583,367.878133513932
"Predator",4,14,3,4,"Vincent",159.045654931623,465.050851124358
"Predator",5,14,3,4,"Vincent",66.3710044968962,293.893332278084
"Predator",6,14,3,4,"Vincent",150.606565399938,331.884712159971
"Predator",7,14,3,4,"Vincent",154.815769530095,416.329379407354
"Predator",8,14,3,4,"Vincent",111.138084810081,401.573820197196
"Predator",9,14,3,4,"Vincent",147.847019921147,439.220775658195
"Predator",10,14,3,4,"Vincent",171.280807186419,481.755198896083
"Predator",11,14,3,4,"Vincent",120.817682574149,415.327336452125
"Predator",12,14,3,4,"Vincent",170.687185194071,432.319968243275
"Predator",13,14,3,4,"Vincent",159.521757149436,385.02796780517
"Predator",14,14,3,4,"Vincent",148.654537143871,395.766461704783
"Predator",15,14,3,4,"Vincent",115.67122733562,373.392711203823
"Predator",16,14,3,4,"Vincent",149.515912925362,472.657246333151
"Predator",17,14,3,4,"Vincent",193.613670447476,389.547006051587
"Predator",18,14,3,4,"Vincent",180.165956841947,442.412062611086
"Predator",19,14,3,4,"Vincent",70.9886296715683,277.695515284279
"Predator",20,14,3,4,"Vincent",140.976831615854,354.268475385373
"Predator",21,14,3,4,"Vincent",144.543601994425,374.982324254758
"Combined",1,15,3,4,"Vincent",142.801307205839,463.121206519101
"Combined",2,15,3,4,"Vincent",89.1027511179199,372.435992210459
"Combined",3,15,3,4,"Vincent",118.600411698597,363.294335451959
"Combined",4,15,3,4,"Vincent",100.968661914649,424.405287506346
"Combined",5,15,3,4,"Vincent",205.348282908634,451.206749650207
"Combined",6,15,3,4,"Vincent",161.815756026863,415.926832873105
"Combined",7,15,3,4,"Vincent",185.539250727327,394.889145061355
"Combined",8,15,3,4,"Vincent",134.176584526497,342.499751416092
"Combined",9,15,3,4,"Vincent",124.713847018363,308.085836781922
"Combined",10,15,3,4,"Vincent",144.337992157006,525.560057724846
"Combined",11,15,3,4,"Vincent",174.439251549184,475.053419050414
"Combined",12,15,3,4,"Vincent",168.738300030942,423.699143297091
"Combined",13,15,3,4,"Vincent",144.935017053635,355.955551712272
"Combined",14,15,3,4,"Vincent",116.902205706168,430.174313379011
"Combined",15,15,3,4,"Vincent",149.206374044691,481.562910972088
"Combined",16,15,3,4,"Vincent",215.691531017501,452.350465408735
"Combined",17,15,3,4,"Vincent",173.457119520834,505.250968158482
"Combined",18,15,3,4,"Vincent",187.365039486339,403.439586688832
"Combined",19,15,3,4,"Vincent",120.601409975099,392.58310545606
"Combined",20,15,3,4,"Vincent",206.530964346842,471.011308578359
"Combined",21,15,3,4,"Vincent",89.0232367199502,198.908487282325
"Control",1,16,3,4,"Vincent",101.749302730002,463.904103497445
"Control",2,16,3,4,"Vincent",130.064136114861,309.434488886533
"Control",3,16,3,4,"Vincent",109.243679777099,407.90976697339
"Control",4,16,3,4,"Vincent",161.603472892415,460.299762002061
"Control",5,16,3,4,"Vincent",159.19077961767,531.552278588481
"Control",6,16,3,4,"Vincent",86.1832219810491,335.906238512435
"Control",7,16,3,4,"Vincent",136.540296266044,458.8861119158
"Control",8,16,3,4,"Vincent",102.272948132286,410.18325203537
"Control",9,16,3,4,"Vincent",88.5090826801102,358.245549252881
"Control",10,16,3,4,"Vincent",93.5042489489381,337.871498105677
"Control",11,16,3,4,"Vincent",148.501212897062,355.252863550544
"Control",12,16,3,4,"Vincent",176.493871907247,444.008968931884
"Control",13,16,3,4,"Vincent",156.128033408423,493.478305887178
"Control",14,16,3,4,"Vincent",125.686942834169,388.870448249317
"Control",15,16,3,4,"Vincent",141.913675779829,372.147475601221
"Control",16,16,3,4,"Vincent",174.480483877138,354.805176540556
"Control",17,16,3,4,"Vincent",179.34108255501,455.496426438358
"Control",18,16,3,4,"Vincent",92.3178010349237,426.089127504685
"Control",19,16,3,4,"Vincent",134.276060194319,505.173805917511
"Control",20,16,3,4,"Vincent",155.764453693509,392.393096564498
"Control",21,16,3,4,"Vincent",152.167375990456,449.413659163854
